Year,MSHA_ID,Mine_Name,Mine_State,Mine_County,Mine_Basin,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Production_short_tons,Average_Employees,Labor_Hours
2010,103376,Town Creek,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Reed Minerals Inc,"3699 Industrial Parkway, Jasper, AL 35501",,203545,41,115812
2010,103397,Parrish Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Black Warrior Minerals Inc,"P.O. Box 1190, Sumiton, AL 35148",,111553,16,41291
2010,103398,Kansas Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"National Coal Of Alabama, Inc","P.O. Box 147, Eldridge, AL 35554",,256078,32,71995
2010,103423,Dutton Hill Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Quality Coal Company, Inc.","1306 1st Street Nw, Unit B, Jasper, AL 35502",,75064,15,25278
2010,103321,Poplar Springs,Alabama,Winston,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,National Coal Of Alabama Inc,"1810 Birmingham Ave, Suite 101, Jasper, AL 35501",,458145,69,173151
2010,103358,Old Union,Alabama,Winston,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Birmingham Coal & Coke Co Inc,"P.O. Box 354, Lynn, AL 35575",,227336,33,80851
2010,5000030,Usibelli,Alaska,Yukon-Koyukuk,Western,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Usibelli Coal Mine Inc,"P.O. Box 1000, Healy, AK 99743",Teamsters,2151094,127,309160
2010,201195,Kayenta Mine,Arizona,Navajo,Western,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Peabody Western Coal Company,"P.O. Box 650, Kayenta, AZ 86033",United Mine Workers of America,7752277,422,988656
2010,301569,Penny #1,Arkansas,Sebastian,Interior,Active,Surface,Indepedent Producer Operator,Mine only,Comer Mining Company,"P.O. Box 986, Greenwood, AR 72936",,1157,2,1964
2010,301736,Sebastian Mine,Arkansas,Sebastian,Interior,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,South Central Coal Co. Inc.,"P.O. Box 6, Spiro, OK 74959",,31144,27,64626
